competition,country,gender,link,mark,name,position,sport
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:28:27,Darren BARLOW,84,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:28:38,Christopher ANTUNES,85,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:28:51,Chad BEYER,86,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:28:51,Austin HENDRIX,87,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:29:01,Joe COWLIN,88,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:29:22,Johnny HOGUE,89,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:29:25,Kent SMITH,90,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,BEL,M,,2:29:26,Joost DE RAEYMAEKER,91,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:29:29,Alexander TYNER,92,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:29:37,Austen DAVENPORT,93,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,CAN,M,,2:29:42,David SAVARD-GAGNON,94,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,ISR,M,,2:29:42,Gabriel KLIOT,95,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:29:51,Chris FYOCK,96,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:29:53,Ken RIDEOUT,97,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:30:04,Derek RINK,98,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:30:11,Peter COFFEY,99,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,GBR,M,,2:30:17,Shane GRACE,100,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:30:19,David O'GARA,101,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:30:22,Tom BURNS,102,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:30:31,Alexander FORTE,103,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,CAN,M,,2:30:34,Robert NEWTON,104,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:30:37,Andrew KAEHR,105,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:30:43,Gabe GUNNINK,106,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:31:13,Adam SCHROEDER,107,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:31:25,Nick KALEEL,108,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:31:27,Joseph HALE,109,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:31:47,John LAZAR,110,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:31:56,Nathan O'CONNOR,111,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:32:01,Kenneth SPRAGUE,112,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:32:05,Chistopher KLUCZNIK,113,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:32:22,Henry MIERZWA,114,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:32:27,Vitor RODRIGUES,115,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:32:48,Nick MARRARO,116,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:33:10,Ben BOCHER,117,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:33:25,Jordan ANDERSEN,118,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:33:38,Tony SPALDING,119,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:33:39,Russell LEINO,120,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:33:45,Jeremiah ESTES,121,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:34:10,Aleksandar TOMAS,122,Marathon
Bank of America Chicago Marathon - 09 OCT 2022,USA,M,,2:34:18,Scott BURNS,123,Marathon
