competition,country,link,mark,name,position,sport
The XXX Olympic Games,UGA,https://www.worldathletics.org/athletes/uganda/stephen-kiprotich-14229607,2:08:01,Stephen KIPROTICH,1,"(['Marathon'],)"
The XXX Olympic Games,KEN,https://www.worldathletics.org/athletes/kenya/abel-kirui-14208543,2:08:27,Abel KIRUI,2,"(['Marathon'],)"
The XXX Olympic Games,KEN,https://www.worldathletics.org/athletes/kenya/wilson-kipsang-kiprotich-14208463,2:09:37,Wilson Kipsang KIPROTICH,3,"(['Marathon'],)"
The XXX Olympic Games,USA,https://www.worldathletics.org/athletes/united-states/mebrahtom-keflezighi-14242705,2:11:06,Mebrahtom KEFLEZIGHI,4,"(['Marathon'],)"
The XXX Olympic Games,BRA,https://www.worldathletics.org/athletes/brazil/marilson-gomes-dos-santos-14175572,2:11:10,Marilson DOS SANTOS,5,"(['Marathon'],)"
The XXX Olympic Games,JPN,https://www.worldathletics.org/athletes/japan/kentaro-nakamoto-14204862,2:11:16,Kentaro NAKAMOTO,6,"(['Marathon'],)"
The XXX Olympic Games,ZIM,https://www.worldathletics.org/athletes/zimbabwe/cuthbert-nyasango-14256538,2:12:08,Cutbert NYASANGO,7,"(['Marathon'],)"
The XXX Olympic Games,BRA,https://www.worldathletics.org/athletes/brazil/paulo-roberto-de-almeida-paula-14175971,2:12:17,Paulo Roberto DE ALMEIDA PAULA,8,"(['Marathon'],)"
The XXX Olympic Games,POL,https://www.worldathletics.org/athletes/poland/henryk-szost-14217693,2:12:28,Henryk SZOST,9,"(['Marathon'],)"
The XXX Olympic Games,ITA,https://www.worldathletics.org/athletes/italy/ruggero-pertile-14201133,2:12:45,Ruggero PERTILE,10,"(['Marathon'],)"
The XXX Olympic Games,SUI,https://www.worldathletics.org/athletes/switzerland/viktor-röthlin-14226451,2:12:48,Viktor RÖTHLIN,11,"(['Marathon'],)"
The XXX Olympic Games,UKR,https://www.worldathletics.org/athletes/ukraine/oleksandr-sitkovskiy-14230610,2:12:56,Oleksandr SITKOVSKIY,12,"(['Marathon'],)"
The XXX Olympic Games,BRA,https://www.worldathletics.org/athletes/brazil/franck-caldeira-de-almeida-14175974,2:13:35,Franck DE ALMEIDA,13,"(['Marathon'],)"
The XXX Olympic Games,RUS,https://www.worldathletics.org/athletes/russia/aleksey-reunkov-14223693,2:13:49,Aleksey REUNKOV,14,"(['Marathon'],)"
The XXX Olympic Games,ZIM,https://www.worldathletics.org/athletes/zimbabwe/wirimanyu-juwawo-14256488,2:14:09,Wirimai JUWAWO,15,"(['Marathon'],)"
The XXX Olympic Games,AUS,https://www.worldathletics.org/athletes/australia/michael-shelley-14178799,2:14:10,Michael SHELLEY,16,"(['Marathon'],)"
The XXX Olympic Games,KEN,https://www.worldathletics.org/athletes/kenya/emmanuel-mutai-14209254,2:14:49,Emmanuel Kipchirchir MUTAI,17,"(['Marathon'],)"
The XXX Olympic Games,MAR,https://www.worldathletics.org/athletes/morocco/rachid-kisri-14212278,2:15:09,Rachid KISRI,18,"(['Marathon'],)"
The XXX Olympic Games,ERI,https://www.worldathletics.org/athletes/eritrea/yared-asmerom-14167431,2:15:24,Yared ASMEROM,19,"(['Marathon'],)"
The XXX Olympic Games,CAN,https://www.worldathletics.org/athletes/canada/dylan-wykes-14173269,2:15:26,Dylan WYKES,20,"(['Marathon'],)"
The XXX Olympic Games,PER,https://www.worldathletics.org/athletes/peru/raúl-pacheco-14216175,2:15:35,Raúl PACHECO,21,"(['Marathon'],)"
The XXX Olympic Games,CAN,https://www.worldathletics.org/athletes/canada/eric-gillis-14174220,2:16:00,Eric GILLIS,22,"(['Marathon'],)"
The XXX Olympic Games,RUS,https://www.worldathletics.org/athletes/russia/dmitriy-safronov-14223788,2:16:04,Dmitriy SAFRONOV,23,"(['Marathon'],)"
The XXX Olympic Games,ESP,https://www.worldathletics.org/athletes/spain/carles-castillejo-14166896,2:16:17,Carles CASTILLEJO,24,"(['Marathon'],)"
The XXX Olympic Games,MDA,https://www.worldathletics.org/athletes/moldova/iaroslav-mușinschi-14212720,2:16:25,Iaroslav MUSINSCHI,25,"(['Marathon'],)"
The XXX Olympic Games,ROU,https://www.worldathletics.org/athletes/romania/marius-ionescu-14219367,2:16:28,Marius IONESCU,26,"(['Marathon'],)"
The XXX Olympic Games,CAN,https://www.worldathletics.org/athletes/canada/reid-coolsaet-14174428,2:16:29,Reid COOLSAET,27,"(['Marathon'],)"
The XXX Olympic Games,AUS,https://www.worldathletics.org/athletes/australia/martin-dent-14179817,2:16:29,Martin DENT,28,"(['Marathon'],)"
The XXX Olympic Games,UKR,https://www.worldathletics.org/athletes/ukraine/vitaliy-shafar-14230556,2:16:36,Vitaliy SHAFAR,29,"(['Marathon'],)"
The XXX Olympic Games,GBR,https://www.worldathletics.org/athletes/great-britain-ni/lee-merrien-14190137,2:17:00,Lee MERRIEN,30,"(['Marathon'],)"
The XXX Olympic Games,ESP,https://www.worldathletics.org/athletes/spain/ignacio-cáceres-14166879,2:17:11,Ignacio CÁCERES,31,"(['Marathon'],)"
The XXX Olympic Games,KOR,https://www.worldathletics.org/athletes/korea/du-haeng-lee-14210366,2:17:19,Duhaeng LEE,32,"(['Marathon'],)"
The XXX Olympic Games,TAN,https://www.worldathletics.org/athletes/tanzania/faustin-mussa-14366670,2:17:39,Faustine MUSSA,33,"(['Marathon'],)"
The XXX Olympic Games,ESP,https://www.worldathletics.org/athletes/spain/josé-carlos-hernández-14166199,2:17:48,José Carlos HERNÁNDEZ,34,"(['Marathon'],)"
The XXX Olympic Games,ARG,https://www.worldathletics.org/athletes/argentina/miguel-ángel-barzola-14180518,2:17:54,Miguel Ángel BARZOLA,35,"(['Marathon'],)"
The XXX Olympic Games,NOR,https://www.worldathletics.org/athletes/norway/arado-urige-buta-14181387,2:17:58,Urige BUTA,36,"(['Marathon'],)"
The XXX Olympic Games,RUS,https://www.worldathletics.org/athletes/russia/grigoriy-andreyev-14221650,2:18:20,Grigoriy ANDREEV,37,"(['Marathon'],)"
The XXX Olympic Games,GUA,https://www.worldathletics.org/athletes/guatemala/josé-amado-garcía-14195706,2:18:23,José Amado GARCÍA,38,"(['Marathon'],)"
The XXX Olympic Games,MEX,https://www.worldathletics.org/athletes/mexico/daniel-vargas-de-jésus-14213336,2:18:26,Daniel VARGAS,39,"(['Marathon'],)"
The XXX Olympic Games,JPN,https://www.worldathletics.org/athletes/japan/ryo-yamamoto-14206858,2:18:34,Ryo YAMAMOTO,40,"(['Marathon'],)"
The XXX Olympic Games,DEN,https://www.worldathletics.org/athletes/denmark/jesper-faurschou-14167977,2:18:44,Jesper FAURSCHOU,41,"(['Marathon'],)"
The XXX Olympic Games,ISL,https://www.worldathletics.org/athletes/iceland/kári-steinn-karlsson-14199178,2:18:47,Kári Steinn KARLSSON,42,"(['Marathon'],)"
The XXX Olympic Games,RSA,https://www.worldathletics.org/athletes/south-africa/lusapho-april-14219653,2:19:00,Lusapho APRIL,43,"(['Marathon'],)"
The XXX Olympic Games,MAW,https://www.worldathletics.org/athletes/malawi/mike-tebulo-14212677,2:19:11,Mike TEBULO,44,"(['Marathon'],)"
The XXX Olympic Games,JPN,https://www.worldathletics.org/athletes/japan/arata-fujiwara-14202726,2:19:11,Arata FUJIWARA,45,"(['Marathon'],)"
The XXX Olympic Games,SLO,https://www.worldathletics.org/athletes/slovenia/primož-kobe-14420489,2:19:28,Primož KOBE,46,"(['Marathon'],)"
The XXX Olympic Games,IOA,https://www.worldathletics.org/athletes/independent-olympic-athletes/guor-maker-14612636,2:19:32,Guor MAKER,47,"(['Marathon'],)"
The XXX Olympic Games,POR,https://www.worldathletics.org/athletes/portugal/luis-feiteira-14218189,2:19:40,Luís FEITEIRA,48,"(['Marathon'],)"
The XXX Olympic Games,RSA,https://www.worldathletics.org/athletes/south-africa/stephen-mokoka-14220671,2:19:52,Stephen MOKOKA,49,"(['Marathon'],)"
The XXX Olympic Games,ECU,https://www.worldathletics.org/athletes/ecuador/miguel-ángel-almachi-14435653,2:19:53,Miguel Ángel ALMACHI,50,"(['Marathon'],)"
The XXX Olympic Games,MGL,https://www.worldathletics.org/athletes/mongolia/ser-od-bat-ochir-14867157,2:20:10,Ser-Od BAT-OCHIR,51,"(['Marathon'],)"
The XXX Olympic Games,PRK,https://www.worldathletics.org/athletes/dpr-of-korea/song-chol-pak-14218725,2:20:20,Song-Chol PAK,52,"(['Marathon'],)"
The XXX Olympic Games,PRK,https://www.worldathletics.org/athletes/dpr-of-korea/kwang-hyok-kim-14520475,2:20:20,Kwang-Hyok KIM,53,"(['Marathon'],)"
The XXX Olympic Games,CHN,https://www.worldathletics.org/athletes/pr-of-china/guojian-dong-14172732,2:20:39,Guojian DONG,54,"(['Marathon'],)"
