BIB,competition,country,link,mark,name,position
,maratonafem2000,GUM,https://www.worldathletics.org/athletes/guam/rhonda-davidson-alley-14281098,3:13:58,Rhonda DAVIDSON-ALLEY,44
,maratonafem2000,LAO,https://www.worldathletics.org/athletes/laos/sirivanh-ketavong-14289933,3:34:27,Sirivanh KETAVONG,45
,maratonafem2000,AUS,https://www.worldathletics.org/athletes/australia/nicole-carroll-14272347,DNF,Nicole CARROLL,"(None,)"
,maratonafem2000,ROU,https://www.worldathletics.org/athletes/romania/anuta-catuna-14295489,DNF,Anuta CATUNA,"(None,)"
,maratonafem2000,MDA,https://www.worldathletics.org/athletes/moldova/valentina-enachi-14290900,DNF,Valentina ENACHI,"(None,)"
,maratonafem2000,ISL,https://www.worldathletics.org/athletes/iceland/martha-ernstdóttir-14283427,DNF,Martha ERNSTSDÓTTIR,"(None,)"
,maratonafem2000,KAZ,https://www.worldathletics.org/athletes/kazakhstan/garifa-kuku-14288644,DNF,Garifa KUKU,"(None,)"
,maratonafem2000,NAM,https://www.worldathletics.org/athletes/namibia/elizabeth-mongudhi-14291439,DNF,Elizabeth MUNGUDHI,"(None,)"
,maratonafem2000,BEL,https://www.worldathletics.org/athletes/belgium/marleen-renders-14270237,DNF,Marleen RENDERS,"(None,)"
,maratonafem2000,RUS,https://www.worldathletics.org/athletes/russia/valentina-yegorova-14299803,DNF,Valentina YEGOROVA,"(None,)"
,maratonafem2000,GER,https://www.worldathletics.org/athletes/germany/claudia-dreher-14277409,DNS,Claudia DREHER,"(None,)"
