BIB,country,link,mark,name,position
651,ETH,https://www.worldathletics.org/athletes/ethiopia/tirfi-tsegaye-14334498,2:24:47,Tirfi TSEGAYE,4
397,BLR,https://www.worldathletics.org/athletes/belarus/volha-mazuronak-14269741,2:24:48,Volha MAZURONAK,5
1340,USA,https://www.worldathletics.org/athletes/united-states/shalane-flanagan-14310164,2:25:26,Shalane FLANAGAN,6
1352,USA,https://www.worldathletics.org/athletes/united-states/desiree-linden-14308638,2:26:08,Desireé LINDEN,7
446,BRN,https://www.worldathletics.org/athletes/bahrain/rose-chelimo-14436833,2:27:36,Rose CHELIMO,8
1333,USA,https://www.worldathletics.org/athletes/united-states/amy-cragg-14312171,2:28:25,Amy CRAGG,9
1138,PRK,https://www.worldathletics.org/athletes/dpr-of-korea/hye-song-kim-14598447,2:28:36,Hye-Song KIM,10
1137,PRK,https://www.worldathletics.org/athletes/dpr-of-korea/hye-gyong-kim-14484403,2:28:36,Hye-Gyong KIM,11
978,LAT,https://www.worldathletics.org/athletes/latvia/jeļena-prokopčuka-14289965,2:29:32,Jelena PROKOPCUKA,12
874,ITA,https://www.worldathletics.org/athletes/italy/valeria-straneo-14285328,2:29:44,Valeria STRANEO,13
913,JPN,https://www.worldathletics.org/athletes/japan/kayoko-fukushi-14286215,2:29:53,Kayoko FUKUSHI,14
1085,PER,https://www.worldathletics.org/athletes/peru/gladys-tejeda-14383678,2:29:55,Gladys TEJEDA,15
1129,POR,https://www.worldathletics.org/athletes/portugal/dulce-félix-14294876,2:30:39,Dulce FÉLIX,16
986,LTU,https://www.worldathletics.org/athletes/lithuania/diana-lobacevské-14290306,2:30:48,Diana MACIUSONYTE,17
323,AUS,https://www.worldathletics.org/athletes/australia/milly-clark-14445318,2:30:53,Milly CLARK,18
923,JPN,https://www.worldathletics.org/athletes/japan/tomomi-tanaka-14288139,2:31:12,Tomomi TANAKA,19
845,IRL,https://www.worldathletics.org/athletes/ireland/fionnuala-mccormack-14283143,2:31:22,Fionnuala MCCORMACK,20
1109,POL,https://www.worldathletics.org/athletes/poland/iwona-bernardelli-14294028,2:31:41,Iwona BERNARDELLI,21
342,AUS,https://www.worldathletics.org/athletes/australia/jessica-stenson-14336656,2:31:44,Jessica TRENGOVE,22
1115,POL,https://www.worldathletics.org/athletes/poland/monika-stefanowicz-14293585,2:32:49,Monika STEFANOWICZ,23
482,CAN,https://www.worldathletics.org/athletes/canada/lanni-marchant-14316001,2:33:08,Lanni MARCHANT,24
857,ITA,https://www.worldathletics.org/athletes/italy/catherine-bertone-14283782,2:33:29,Catherine BERTONE,25
599,CZE,https://www.worldathletics.org/athletes/czech-republic/eva-vrabcová-nyvltová-14941331,2:33:51,Eva VRABCOVÁ NYVLTOVÁ,26
1001,MDA,https://www.worldathletics.org/athletes/moldova/lilia-fisikovici-14941192,2:34:05,Lilia FISIKOVICI,27
700,GBR,https://www.worldathletics.org/athletes/great-britain-ni/alyson-dixon-14274898,2:34:11,Alyson DIXON,28
1210,SUI,https://www.worldathletics.org/athletes/switzerland/maja-neuenschwander-14301064,2:34:27,Maja NEUENSCHWANDER,29
722,GBR,https://www.worldathletics.org/athletes/great-britain-ni/sonia-thomas-samuels-14276539,2:34:36,Sonia SAMUELS,30
343,AUS,https://www.worldathletics.org/athletes/australia/lisa-weightman-14271094,2:34:41,Lisa WEIGHTMAN,31
1010,MEX,https://www.worldathletics.org/athletes/mexico/madaí-pérez-14291191,2:34:42,Madaí PÉREZ,32
1286,UKR,https://www.worldathletics.org/athletes/ukraine/olga-kotovska-14303743,2:34:57,Olha KOTOVSKA,33
620,ESP,https://www.worldathletics.org/athletes/spain/maría-azucena-díaz-14261730,2:35:02,María Azucena DÍAZ,34
473,CAN,https://www.worldathletics.org/athletes/canada/krista-duchene-14379460,2:35:29,Krista DUCHENE,35
1083,PER,https://www.worldathletics.org/athletes/peru/jovana-de-la-cruz-capani-14375651,2:35:49,Jovana DE LA CRUZ,36
985,LTU,https://www.worldathletics.org/athletes/lithuania/rasa-drazdauskaitė-14290222,2:35:50,Rasa DRAZDAUSKAITÉ,37
989,LTU,https://www.worldathletics.org/athletes/lithuania/vaida-žūsinaitė-14290450,2:35:53,Vaida ŽŪSINAITĖ,38
815,HKG,https://www.worldathletics.org/athletes/hong-kong-china/kit-ching-yiu-14386062,2:36:11,Kit Ching YIU,39
601,DEN,https://www.worldathletics.org/athletes/denmark/jess-draskau-petersson-14262541,2:36:14,Jessica DRASKAU-PETERSSON,40
1025,NAM,https://www.worldathletics.org/athletes/namibia/beata-naigambo-14291442,2:36:32,Beata NAIGAMBO,41
965,KOR,https://www.worldathletics.org/athletes/korea/seulki-an-14376748,2:36:50,Seul-ki AHN,42
553,COL,https://www.worldathletics.org/athletes/colombia/angie-orjuela-14521783,2:37:05,Angie ORJUELA,43
778,GER,https://www.worldathletics.org/athletes/germany/anja-scherl-14329073,2:37:23,Anja SCHERL,44
388,BLR,https://www.worldathletics.org/athletes/belarus/maryna-damantsevich-14407224,2:37:34,Maryna DAMANTSEVICH,45
915,JPN,https://www.worldathletics.org/athletes/japan/mai-ito-14286564,2:37:37,Mai ITO,46
376,BEL,https://www.worldathletics.org/athletes/belgium/veerle-dejaeghere-14270408,2:37:39,Veerle DEJAEGHERE,47
1009,MEX,https://www.worldathletics.org/athletes/mexico/margarita-hernandez-flores-14385600,2:38:15,Margarita HERNÁNDEZ,48
1139,PRK,https://www.worldathletics.org/athletes/dpr-of-korea/kum-ok-kim-14295210,2:38:24,Kum-Ok KIM,49
304,ALG,https://www.worldathletics.org/athletes/algeria/kenza-dahmani-14272839,2:38:37,Kenza DAHMANI TIFAHI,50
656,FIN,https://www.worldathletics.org/athletes/finland/anne-mari-hyryläinen-14378768,2:39:02,Anne-Mari HYRYLÄINEN,51
816,HUN,https://www.worldathletics.org/athletes/hungary/zsófia-erdélyi-14281461,2:39:04,Zsófia ERDÉLYI,52
534,CHN,https://www.worldathletics.org/athletes/pr-of-china/chao-yue-14264528,2:39:09,Chao YUE,53
1387,UZB,https://www.worldathletics.org/athletes/uzbekistan/sitora-khamidova-14325015,2:39:45,Sitora KHAMIDOVA,54
600,DEN,https://www.worldathletics.org/athletes/denmark/anna-holm-jørgensen-14262507,2:39:49,Anna HOLM JØRGENSEN,55
1024,NAM,https://www.worldathletics.org/athletes/namibia/helalia-johannes-14291432,2:39:55,Helalia JOHANNES,56
843,IRL,https://www.worldathletics.org/athletes/ireland/lizzie-lee-14427789,2:39:57,Lizzie LEE,57
1256,TUR,https://www.worldathletics.org/athletes/turkey/esma-aydemir-14378580,2:39:59,Esma AYDEMIR,58
960,KGZ,https://www.worldathletics.org/athletes/kirghizistan/iuliia-andreeva-14522921,2:40:34,Iuliia ANDREEVA,59
1030,NED,https://www.worldathletics.org/athletes/netherlands/andrea-deeltstra-14291595,2:40:49,Andrea DEELSTRA,60
974,LAT,https://www.worldathletics.org/athletes/latvia/ilona-marhele-14290029,2:41:02,Ilona MARHELE,61
963,KGZ,https://www.worldathletics.org/athletes/kirghizistan/viktoriya-polyudina-14289563,2:41:37,Viktoriia POLIUDINA,62
1167,RSA,https://www.worldathletics.org/athletes/south-africa/lebo-dinah-phalula-14296741,2:41:46,Dina Lebo PHALULA,63
349,AUT,https://www.worldathletics.org/athletes/austria/andrea-mayr-14270847,2:41:52,Andrea MAYR,64
819,HUN,https://www.worldathletics.org/athletes/hungary/krisztina-papp-14282184,2:42:03,Krisztina PAPP,65
1308,UKR,https://www.worldathletics.org/athletes/ukraine/svitlana-stanko-klymenko-14304232,2:42:26,Svitlana STANKO-KLYMENKO,66
1088,PLE,https://www.worldathletics.org/athletes/palestine/mayada-al-sayad-14361426,2:42:28,Mayada AL SAYAD,67
1268,UGA,https://www.worldathletics.org/athletes/uganda/adero-nyakisi-14289374,2:42:39,Adero NYAKISI,68
416,BRA,https://www.worldathletics.org/athletes/brazil/adriana-aparecida-da-silva-14269334,2:43:22,Adriana Aparecida DA SILVA,69
966,KOR,https://www.worldathletics.org/athletes/korea/kyung-hee-lim-14289823,2:43:31,Kyunghee LIM,70
1145,PUR,https://www.worldathletics.org/athletes/puerto-rico/beverly-ramos-14295338,2:43:52,Beverly RAMOS,71
1013,MGL,https://www.worldathletics.org/athletes/mongolia/munkhzaya-bayartsogt-14632541,2:43:55,Munkhzaya BAYARTSOGT,72
545,COL,https://www.worldathletics.org/athletes/colombia/erika-abril-14940634,2:44:05,Erika ABRIL,73
379,BEL,https://www.worldathletics.org/athletes/belgium/manuela-soccol-14407318,2:44:18,Manuela SOCCOL,74
1023,NAM,https://www.worldathletics.org/athletes/namibia/alina-armas-14572721,2:44:20,Alina ARMAS,75
840,IRL,https://www.worldathletics.org/athletes/ireland/breege-connolly-14283166,2:44:41,Breege CONNOLLY,76
1388,UZB,https://www.worldathletics.org/athletes/uzbekistan/marina-hmelevskaya-14325016,2:45:06,Marina HMELEVSKAYA,77
424,BRA,https://www.worldathletics.org/athletes/brazil/marily-dos-santos-14269103,2:45:08,Marily DOS SANTOS,78
517,CHN,https://www.worldathletics.org/athletes/pr-of-china/shaoqing-hua-14470082,2:45:09,Shaoqing HUA,79
615,ERI,https://www.worldathletics.org/athletes/eritrea/nebiat-habtemariam-14262204,2:45:21,Nebiat HABTEMARIAM,80
748,GER,https://www.worldathletics.org/athletes/germany/anna-hahner-14329081,2:45:32,Anna HAHNER,81
749,GER,https://www.worldathletics.org/athletes/germany/lisa-hahner-14329082,2:45:33,Lisa HAHNER,82
821,HUN,https://www.worldathletics.org/athletes/hungary/tünde-szabó-14282400,2:45:37,Tünde SZABÓ,83
378,BEL,https://www.worldathletics.org/athletes/belgium/els-rens-14415138,2:45:52,Els RENS,84
1014,MGL,https://www.worldathletics.org/athletes/mongolia/otgonbayar-luvsanlkhundeg-14291305,2:45:55,Otgonbayar LUVSANLUNDEG,85
948,KEN,https://www.worldathletics.org/athletes/kenya/visiline-jepkesho-14627555,2:46:05,Visiline JEPKESHO,86
1288,UKR,https://www.worldathletics.org/athletes/ukraine/nataliya-lehonkova-14333929,2:46:08,Nataliya LEHONKOVA,87
803,GRE,https://www.worldathletics.org/athletes/greece/ourania-rebouli-14378247,2:46:32,Ouranía REBOÚLI,88
835,IND,https://www.worldathletics.org/athletes/india/jaisha-orchatteri-14282858,2:47:19,Jaisha ORCHATTERI,89
854,ISR,https://www.worldathletics.org/athletes/israel/maor-tiyouri-14283592,2:47:27,Maor TIYOURI,90
1238,THA,https://www.worldathletics.org/athletes/thailand/jane-vongvorachoti-14436818,2:47:27,Jane VONGVORACHOTI,91
1405,ZIM,https://www.worldathletics.org/athletes/zimbabwe/rutendo-joan-nyahora-14325369,2:47:32,Rutendo Joan NYAHORA,92
1397,VEN,https://www.worldathletics.org/athletes/venezuela/yolimar-pineda-14325191,2:47:34,Yolimar PINEDA,93
