competition,country,link,mark,name,position
maratonafem2016,BRA,https://www.worldathletics.org/athletes/brazil/adriana-aparecida-da-silva-14269334,2:43:22,Adriana Aparecida DA SILVA,69
maratonafem2016,KOR,https://www.worldathletics.org/athletes/korea/kyung-hee-lim-14289823,2:43:31,Kyunghee LIM,70
maratonafem2016,PUR,https://www.worldathletics.org/athletes/puerto-rico/beverly-ramos-14295338,2:43:52,Beverly RAMOS,71
maratonafem2016,MGL,https://www.worldathletics.org/athletes/mongolia/munkhzaya-bayartsogt-14632541,2:43:55,Munkhzaya BAYARTSOGT,72
maratonafem2016,COL,https://www.worldathletics.org/athletes/colombia/erika-abril-14940634,2:44:05,Erika ABRIL,73
maratonafem2016,BEL,https://www.worldathletics.org/athletes/belgium/manuela-soccol-14407318,2:44:18,Manuela SOCCOL,74
maratonafem2016,NAM,https://www.worldathletics.org/athletes/namibia/alina-armas-14572721,2:44:20,Alina ARMAS,75
maratonafem2016,IRL,https://www.worldathletics.org/athletes/ireland/breege-connolly-14283166,2:44:41,Breege CONNOLLY,76
maratonafem2016,UZB,https://www.worldathletics.org/athletes/uzbekistan/marina-hmelevskaya-14325016,2:45:06,Marina HMELEVSKAYA,77
maratonafem2016,BRA,https://www.worldathletics.org/athletes/brazil/marily-dos-santos-14269103,2:45:08,Marily DOS SANTOS,78
maratonafem2016,CHN,https://www.worldathletics.org/athletes/pr-of-china/shaoqing-hua-14470082,2:45:09,Shaoqing HUA,79
maratonafem2016,ERI,https://www.worldathletics.org/athletes/eritrea/nebiat-habtemariam-14262204,2:45:21,Nebiat HABTEMARIAM,80
maratonafem2016,GER,https://www.worldathletics.org/athletes/germany/anna-hahner-14329081,2:45:32,Anna HAHNER,81
maratonafem2016,GER,https://www.worldathletics.org/athletes/germany/lisa-hahner-14329082,2:45:33,Lisa HAHNER,82
maratonafem2016,HUN,https://www.worldathletics.org/athletes/hungary/tünde-szabó-14282400,2:45:37,Tünde SZABÓ,83
maratonafem2016,BEL,https://www.worldathletics.org/athletes/belgium/els-rens-14415138,2:45:52,Els RENS,84
maratonafem2016,MGL,https://www.worldathletics.org/athletes/mongolia/otgonbayar-luvsanlkhundeg-14291305,2:45:55,Otgonbayar LUVSANLUNDEG,85
maratonafem2016,KEN,https://www.worldathletics.org/athletes/kenya/visiline-jepkesho-14627555,2:46:05,Visiline JEPKESHO,86
maratonafem2016,UKR,https://www.worldathletics.org/athletes/ukraine/nataliya-lehonkova-14333929,2:46:08,Nataliya LEHONKOVA,87
maratonafem2016,GRE,https://www.worldathletics.org/athletes/greece/ourania-rebouli-14378247,2:46:32,Ouranía REBOÚLI,88
maratonafem2016,IND,https://www.worldathletics.org/athletes/india/jaisha-orchatteri-14282858,2:47:19,Jaisha ORCHATTERI,89
maratonafem2016,ISR,https://www.worldathletics.org/athletes/israel/maor-tiyouri-14283592,2:47:27,Maor TIYOURI,90
maratonafem2016,THA,https://www.worldathletics.org/athletes/thailand/jane-vongvorachoti-14436818,2:47:27,Jane VONGVORACHOTI,91
maratonafem2016,ZIM,https://www.worldathletics.org/athletes/zimbabwe/rutendo-joan-nyahora-14325369,2:47:32,Rutendo Joan NYAHORA,92
maratonafem2016,VEN,https://www.worldathletics.org/athletes/venezuela/yolimar-pineda-14325191,2:47:34,Yolimar PINEDA,93
maratonafem2016,KGZ,https://www.worldathletics.org/athletes/kirghizistan/mariya-korobitskaya-14478639,2:47:53,Mariya KOROBITSKAYA,94
maratonafem2016,ECU,https://www.worldathletics.org/athletes/ecuador/silvia-paredes-14262284,2:48:01,Silvia PAREDES,95
maratonafem2016,RSA,https://www.worldathletics.org/athletes/south-africa/christine-kalmer-14296452,2:48:24,Christine KALMER,96
maratonafem2016,EST,https://www.worldathletics.org/athletes/estonia/lily-luik-14478987,2:48:29,Lily LUIK,97
maratonafem2016,MAW,https://www.worldathletics.org/athletes/malawi/tereza-master-14290871,2:48:34,Tereza MASTER,98
maratonafem2016,ECU,https://www.worldathletics.org/athletes/ecuador/maria-elena-calle-14307072,2:48:39,Maria-Elena CALLE,99
maratonafem2016,ECU,https://www.worldathletics.org/athletes/ecuador/rosa-chacha-14262327,2:48:52,Rosa CHACHA,100
maratonafem2016,ROU,https://www.worldathletics.org/athletes/romania/paula-todoran-14295985,2:48:54,Paula-Claudia TODORAN,101
maratonafem2016,CUB,https://www.worldathletics.org/athletes/cuba/dailin-belmonte-14263683,2:48:58,Dailín BELMONTE,102
maratonafem2016,GRE,https://www.worldathletics.org/athletes/greece/sofia-riga-14376496,2:49:07,Sofía RÍGA,103
maratonafem2016,CRO,https://www.worldathletics.org/athletes/croatia/matea-matošević-14263772,2:50:00,Matea MATOSEVIĆ,104
maratonafem2016,CHI,https://www.worldathletics.org/athletes/chile/erika-alejandra-de-la-fuente-14269220,2:50:29,Erika Alejandra DE LA FUENTE,105
maratonafem2016,LAT,https://www.worldathletics.org/athletes/latvia/ariana-hilborn-14386291,2:50:51,Ariana Kira HILBORNA,106
maratonafem2016,SVK,https://www.worldathletics.org/athletes/slovak-republic/katarína-pejpkova-berešová-14301373,2:50:54,Katarina BÉREŠOVÁ,107
maratonafem2016,BUL,https://www.worldathletics.org/athletes/bulgaria/militsa-mircheva-14468897,2:51:06,Militsa MIRCHEVA,108
maratonafem2016,LBN,https://www.worldathletics.org/athletes/lebanon/chirine-njeim-14546972,2:51:08,Chirine NJEIM,109
maratonafem2016,ARG,https://www.worldathletics.org/athletes/argentina/rosa-godoy-14272651,2:52:31,Rosa GODOY,110
maratonafem2016,TUR,https://www.worldathletics.org/athletes/turkey/sultan-haydar-14259831,2:53:57,Sultan HAYDAR,111
maratonafem2016,TUR,https://www.worldathletics.org/athletes/turkey/meryem-erdogan-14422490,2:54:04,Meryem ERDOGAN,112
maratonafem2016,TPE,https://www.worldathletics.org/athletes/chinese-taipei/chien-ho-hsieh-14302830,2:54:18,Chien-Ho HSIEH,113
maratonafem2016,EST,https://www.worldathletics.org/athletes/estonia/leila-luik-14459188,2:54:38,Leila LUIK,114
